<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2022.06.29;20:30:00;0.68785;0.68799;0.68740;0.68794;546;0;2
2022.06.29;20:40:00;0.68795;0.68821;0.68789;0.68819;393;0;2
2022.06.29;20:50:00;0.68818;0.68869;0.68812;0.68864;429;0;2
2022.06.29;21:00:00;0.68861;0.68891;0.68849;0.68858;428;0;2
2022.06.29;21:10:00;0.68857;0.68864;0.68838;0.68840;455;0;2
2022.06.29;21:20:00;0.68843;0.68847;0.68807;0.68839;393;0;2
2022.06.29;21:30:00;0.68838;0.68845;0.68792;0.68797;300;0;2
2022.06.29;21:40:00;0.68797;0.68801;0.68758;0.68760;435;0;2
2022.06.29;21:50:00;0.68758;0.68789;0.68740;0.68748;388;0;2
2022.06.29;22:00:00;0.68747;0.68757;0.68701;0.68754;432;0;2
2022.06.29;22:10:00;0.68753;0.68786;0.68735;0.68771;398;0;2
2022.06.29;22:20:00;0.68771;0.68799;0.68756;0.68799;350;0;2
2022.06.29;22:30:00;0.68799;0.68799;0.68757;0.68780;306;0;2
2022.06.29;22:40:00;0.68782;0.68790;0.68720;0.68726;377;0;1
2022.06.29;22:50:00;0.68744;0.68767;0.68722;0.68759;395;0;2
2022.06.29;23:00:00;0.68759;0.68786;0.68748;0.68766;263;0;0
2022.06.29;23:10:00;0.68765;0.68820;0.68765;0.68816;405;0;1
2022.06.29;23:20:00;0.68816;0.68849;0.68808;0.68841;258;0;1
2022.06.29;23:30:00;0.68841;0.68845;0.68802;0.68802;124;0;0
2022.06.29;23:40:00;0.68799;0.68816;0.68788;0.68801;100;0;2
2022.06.29;23:50:00;0.68801;0.68803;0.68767;0.68770;155;0;3
2022.06.30;00:00:00;0.68770;0.68787;0.68738;0.68741;51;0;15
2022.06.30;00:10:00;0.68743;0.68764;0.68741;0.68741;44;0;37
2022.06.30;00:20:00;0.68756;0.68788;0.68742;0.68776;72;0;22
2022.06.30;00:30:00;0.68776;0.68779;0.68765;0.68778;78;0;20
2022.06.30;00:40:00;0.68778;0.68780;0.68759;0.68768;101;0;19
2022.06.30;00:50:00;0.68766;0.68774;0.68760;0.68772;114;0;20
2022.06.30;01:00:00;0.68756;0.68799;0.68745;0.68785;163;0;8
2022.06.30;01:10:00;0.68784;0.68803;0.68778;0.68792;204;0;3
2022.06.30;01:20:00;0.68793;0.68819;0.68793;0.68814;129;0;3
